ok_2010_94_CQTA_PANATLANTICA  _6271_2
ok_2010_20087_CQTA_EMBRAER       _5552_2
ok_2010_20125_CQTA_ODONTOPREV    _5379_2
ok_2010_20257_CQTA_TAESA         _9636_2
ok_2010_20320_CQTA_CEMIG GT      _14192_2
ok_2010_20338_CQTA_M.DIASBRANCO  _5050_2
ok_2010_20346_CQTA_PROFARMA      _5117_2
ok_2010_20354_CQTA_TERRA SANTA   _9555_2
ok_2010_20362_CQTA_POSITIVO TEC  _7578_2
ok_2010_20370_CQTA_LOPES BRASIL  _5559_2
ok_2010_20435_CQTA_TECNISA       _5495_2
ok_2010_20451_CQTA_RNI           _5196_2
ok_2010_20478_CQTA_PDG REALT     _6307_2
ok_2010_20494_CQTA_IGUATEMI      _5861_2
ok_2010_20524_CQTA_EVEN          _5829_2
ok_2010_20532_CQTA_SANTANDER BR  _5690_2
ok_2010_20540_CQTA_CPFL RENOVAV  _5130_2
ok_2010_20567_CQTA_PINE          _5358_2
ok_2010_20575_CQTA_JBS           _5520_2
ok_2010_20605_CQTA_JHSF PART     _5969_2
ok_2010_20613_CQTA_METALFRIO     _4968_2
ok_2010_20621_CQTA_FER HERINGER  _6634_2
ok_2010_20630_CQTA_CR2           _5912_2
ok_2010_20702_CQTA_VIVER         _5773_2
ok_2010_20710_CQTA_LOG-IN        _5238_2
ok_2010_20745_CQTA_SLC AGRICOLA  _5627_2
ok_2010_20770_CQTA_EZTEC         _5442_2
ok_2010_20788_CQTA_MARFRIG       _22071_2
ok_2010_20800_CQTA_TEGMA         _5078_2
ok_2010_20877_CQTA_HELBOR        _5305_2
ok_2010_20885_CQTA_INDUSVAL      _6765_2
ok_2010_20915_CQTA_MRV           _6069_2
ok_2010_20931_CQTA_MINERVA       _10113_2
ok_2010_20958_CQTA_ABC BRASIL    _6944_2
ok_2010_20966_CQTA_SPRINGS       _6586_2
ok_2010_20982_CQTA_MULTIPLAN     _6378_2
ok_2010_20990_CQTA_B2W DIGITAL   _5481_2
ok_2010_21008_CQTA_GENERALSHOPP  _5558_2
ok_2010_21016_CQTA_ESTACIO PART  _5332_2
ok_2010_21032_CQTA_ALGAR TELEC   _5266_2
ok_2010_21040_CQTA_CYRE COM-CCP  _5198_2
ok_2010_21091_CQTA_DURATEX       _4753_2
ok_2010_21121_CQTA_SUL AMERICA   _5002_2
ok_2010_21130_CQTA_TRISUL        _5898_2
ok_2010_21148_CQTA_TENDA         _5761_2
ok_2010_21156_CQTA_J.MACEDO      _9723_2
ok_2010_21180_CQTA_BR BROKERS    _14255_2
ok_2010_21199_CQTA_BANCO PAN     _7977_2
ok_2010_21237_CQTA_ENEVA         _5587_2
ok_2010_21300_CQTA_ALIANSCE      _5804_2
ok_2010_21342_CQTA_OSX BRASIL    _5267_2
ok_2010_21350_CQTA_DIRECIONAL    _6336_2
ok_2010_21393_CQTA_CELGPAR       _9688_2
ok_2010_21431_CQTA_HYPERA        _5428_2
ok_2010_21440_CQTA_LE LIS BLANC  _5224_2
ok_2010_21490_CQTA_ALUPAR        _6665_2
ok_2010_21555_CQTA_UNIDAS        _11819_2
ok_2010_21610_CQTA_B3            _4825_2
ok_2010_21636_CQTA_RENOVA        _5680_2
ok_2010_21717_CQTA_TARPON INV    _11588_2
ok_2010_21733_CQTA_CIELO         _6626_2
ok_2010_21881_CQTA_FLEURY        _5232_2
ok_2010_21903_CQTA_ECON          _5724_2
ok_2010_22020_CQTA_JSL           _13166_2
ok_2010_22055_CQTA_LOJAS MARISA  _4840_2
ok_2010_22187_CQTA_PETRORIO      _7251_2
ok_2010_22217_CQTA_ALPER S.A.    _8512_2
ok_2010_22349_CQTA_AREZZO CO     _5887_2
ok_2010_22357_CQTA_SIERRABRASIL  _7520_2
ok_2010_22365_CQTA_ENAUTA PART   _7822_2
ok_2010_22454_CQTA_TIME FOR FUN  _6520_2
ok_2010_22470_CQTA_MAGAZ LUIZA   _7179_2
ok_2010_22497_CQTA_QUALICORP     _9816_2
ok_2010_22500_CQTA_BR PHARMA     _9912_2
ok_2010_22519_CQTA_TECHNOS       _9925_2
ok_2010_22551_CQTA_SOMOS EDUCA   _26050_2
ok_2010_22594_CQTA_STATKRAFT     _11796_2
ok_2010_22691_CQTA_LOCAMERICA    _17603_2
ok_2010_80020_CQTA_GP INVEST     _7079_2
ok_2010_80047_CQTA_WILSON SONS   _6008_2
erro_2011_94_CQTA_PANATLANTICA  _<class 'selenium.common.exceptions.WebDriverException'>
ok_2011_701_CQTA_BAHEMA        _15069_2
ok_2011_906_CQTA_BRADESCO      _15827_2
ok_2011_1023_CQTA_BRASIL        _16045_2
ok_2011_1155_CQTA_BANESTES      _16051_2
ok_2011_1210_CQTA_BANRISUL      _15629_2
ok_2011_1325_CQTA_MERC BRASIL   _16032_2
ok_2011_1384_CQTA_ALFA INVEST   _15298_2
ok_2011_1520_CQTA_BARDELLA      _15303_2
ok_2011_1562_CQTA_BAUMER        _15911_2
ok_2011_1694_CQTA_BIC MONARK    _15510_2
ok_2011_2100_CQTA_CAMBUCI       _15276_2
ok_2011_2429_CQTA_CELUL IRANI   _14735_2
ok_2011_2437_CQTA_ELETROBRAS    _16247_2
ok_2011_2453_CQTA_CEMIG         _15488_2
ok_2011_2461_CQTA_CELESC        _15958_2
ok_2011_3069_CQTA_FERBASA       _14928_2
ok_2011_3077_CQTA_CEDRO         _14967_2
ok_2011_3115_CQTA_SEG AL BAHIA  _14577_2
ok_2011_3158_CQTA_COTEMINAS     _15879_2
ok_2011_3190_CQTA_REDE ENERGIA  _15842_2
ok_2011_3298_CQTA_HABITASUL     _15742_2
ok_2011_3395_CQTA_IND CATAGUAS  _16597_2
ok_2011_3654_CQTA_MELHOR SP     _15273_2
ok_2011_3980_CQTA_GERDAU        _14379_2
ok_2011_4030_CQTA_SID NACIONAL  _15383_2
ok_2011_4081_CQTA_SANTANENSE    _15841_2
ok_2011_4146_CQTA_KARSTEN       _15214_2
ok_2011_4170_CQTA_VALE          _19475_2
ok_2011_4537_CQTA_GRAZZIOTIN    _14887_2
ok_2011_4669_CQTA_GUARARAPES    _15642_2
ok_2011_4707_CQTA_ALFA CONSORC  _14834_2
ok_2011_4723_CQTA_CONST A LIND  _35839_2
ok_2011_4820_CQTA_BRASKEM       _15385_2
ok_2011_4863_CQTA_COR RIBEIRO   _14964_2
ok_2011_5207_CQTA_DOHLER        _15411_2
ok_2011_5258_CQTA_RAIADROGASIL  _15392_2
ok_2011_5312_CQTA_MUNDIAL       _16056_2
ok_2011_5410_CQTA_WEG           _14329_2
ok_2011_5762_CQTA_ETERNIT       _14912_2
ok_2011_5770_CQTA_EUCATEX       _14762_2
ok_2011_6173_CQTA_FORJA TAURUS  _15473_2
ok_2011_6211_CQTA_FRAS-LE       _24477_2
ok_2011_6343_CQTA_TUPY          _24259_2
ok_2011_6505_CQTA_VIAVAREJO     _14401_2
ok_2011_6700_CQTA_HOTEIS OTHON  _15866_2
ok_2011_6815_CQTA_IGB SA       _33260_2
ok_2011_7510_CQTA_INDS ROMI     _14725_2
ok_2011_7544_CQTA_TEX RENAUX    _15706_2
ok_2011_7595_CQTA_INEPAR        _15926_2
ok_2011_7617_CQTA_ITAUSA        _14603_2
ok_2011_7811_CQTA_JOAO FORTES   _16079_2
ok_2011_7870_CQTA_KEPLER WEBER  _15031_2
ok_2011_8087_CQTA_LOJAS AMERIC  _14726_2
ok_2011_8133_CQTA_LOJAS RENNER  _14175_2
ok_2011_8192_CQTA_TREVISA       _15682_2
ok_2011_8397_CQTA_MANGELS INDL  _15442_2
ok_2011_8427_CQTA_ESTRELA       _15936_2
ok_2011_8451_CQTA_MARCOPOLO     _14567_2
ok_2011_8575_CQTA_METAL LEVE    _14879_2
ok_2011_8656_CQTA_GERDAU MET    _14378_2
ok_2011_8672_CQTA_JEREISSATI    _15701_2
ok_2011_8753_CQTA_METISA        _14837_2
erro_2011_8893_CQTA_MONT ARANHA   _<class 'selenium.common.exceptions.WebDriverException'>
ok_2011_9040_CQTA_NADIR FIGUEI  _15778_2
ok_2011_9067_CQTA_SUZANO HOLD   _15985_2
ok_2011_9342_CQTA_DIMED         _15342_2
ok_2011_9393_CQTA_PARANAPANEMA  _15468_2
ok_2011_9512_CQTA_PETROBRAS     _14307_2
ok_2011_9954_CQTA_ALFA HOLDING  _14835_2
ok_2011_9989_CQTA_PET MANGUINH  _16309_2
ok_2011_10456_CQTA_ALPARGATAS    _23121_2
ok_2011_10472_CQTA_SARAIVA LIVR  _15239_2
ok_2011_10880_CQTA_SONDOTECNICA  _28010_2
ok_2011_10960_CQTA_SPRINGER      _15900_2
ok_2011_11070_CQTA_WLM IND COM   _15384_2
erro_2011_11223_CQTA_TEKA          _<class 'selenium.common.exceptions.WebDriverException'>
ok_2011_11231_CQTA_TEKNO         _15420_2
ok_2011_11312_CQTA_OI            _15959_2
ok_2011_11398_CQTA_CRISTAL       _15526_2
ok_2011_11592_CQTA_UNIPAR        _15050_2
ok_2011_11762_CQTA_VULCABRAS     _15964_2
ok_2011_11932_CQTA_IOCHP-MAXION  _14560_2
ok_2011_11975_CQTA_AZEVEDO       _15772_2
ok_2011_11991_CQTA_WETZEL SA    _15350_2
ok_2011_12190_CQTA_BOMBRIL       _15712_2
ok_2011_12530_CQTA_ITAUTEC       _14405_2
ok_2011_12572_CQTA_RECRUSUL      _15727_2
ok_2011_12653_CQTA_KLABIN SA    _14625_2
ok_2011_12696_CQTA_SANSUY        _15409_2
ok_2011_12823_CQTA_ALIPERTI      _15300_2
ok_2011_13285_CQTA_JOSAPAR       _16184_2
ok_2011_13471_CQTA_PLASCAR PART  _14701_2
ok_2011_13765_CQTA_MINUPAR       _15406_2
ok_2011_13773_CQTA_PORTOBELLO    _15730_2
ok_2011_13781_CQTA_SAO CARLOS    _15141_2
ok_2011_13986_CQTA_SUZANO S.A.   _15346_2
ok_2011_14109_CQTA_RANDON PART   _14566_2
ok_2011_14133_CQTA_TECTOY        _15970_2
ok_2011_14206_CQTA_BRB BANCO     _15921_2
ok_2011_14311_CQTA_COPEL         _15394_2
ok_2011_14320_CQTA_USIMINAS      _14754_2
ok_2011_14346_CQTA_WHIRLPOOL     _14564_2
ok_2011_14443_CQTA_SABESP        _15327_2
ok_2011_14451_CQTA_CEB           _16053_2
ok_2011_14460_CQTA_CYRELA REALT  _15395_2
ok_2011_14664_CQTA_SCHULZ        _15009_2
ok_2011_14761_CQTA_CIA HERING    _14615_2
ok_2011_14826_CQTA_P.ACUCAR-CBD  _14402_2
ok_2011_15091_CQTA_LITEL         _15803_2
ok_2011_15253_CQTA_ENERGISA      _14870_2
ok_2011_15300_CQTA_ALL NORTE     _15275_2
ok_2011_15369_CQTA_FER C ATLANT  _15898_2
ok_2011_15458_CQTA_BATTISTELLA   _15177_2
ok_2011_15539_CQTA_NEOENERGIA    _14158_2
ok_2011_16101_CQTA_GAFISA        _16306_2
ok_2011_16292_CQTA_BRF SA        _15260_2
ok_2011_16306_CQTA_ROSSI RESID   _21668_2
ok_2011_16497_CQTA_ENCORPAR      _15854_2
ok_2011_16632_CQTA_GPC PART      _16214_2
ok_2011_16659_CQTA_PORTO SEGURO  _14549_2
ok_2011_16993_CQTA_EMAE          _15265_2
ok_2011_17329_CQTA_ENGIE BRASIL  _14145_2
ok_2011_17450_CQTA_RUMO S.A.     _14699_2
ok_2011_17493_CQTA_CAPITALPART   _15691_2
ok_2011_17558_CQTA_SELECTPART    _15692_2
ok_2011_17639_CQTA_TIM PART SA  _14958_2
ok_2011_17671_CQTA_TELEF BRASIL  _14351_2
ok_2011_17892_CQTA_SANTOS BRP    _14078_2
ok_2011_17914_CQTA_MMX MINER     _16094_2
ok_2011_17922_CQTA_BRAZILIAN FR  _14526_2
ok_2011_17930_CQTA_ALL PAULISTA  _15308_2
ok_2011_17973_CQTA_KROTON        _15551_2
ok_2011_18287_CQTA_CIBRASEC      _15016_2
ok_2011_18376_CQTA_TRAN PAULIST  _15060_2
ok_2011_18414_CQTA_IDEIASNET     _23580_2
ok_2011_18465_CQTA_ULTRAPAR      _14363_2
ok_2011_18660_CQTA_CPFL ENERGIA  _14930_2
ok_2011_18708_CQTA_PAR AL BAHIA  _15702_2
ok_2011_18724_CQTA_BRADESPAR     _15100_2
ok_2011_18775_CQTA_INVEPAR       _15685_2
ok_2011_18821_CQTA_CCR SA        _14776_2
ok_2011_18953_CQTA_CPFL GERACAO  _14933_2
ok_2011_18970_CQTA_AES TIETE E   _15023_2
ok_2011_19062_CQTA_AGPART        _16414_2
ok_2011_19100_CQTA_LIQ           _14880_2
ok_2011_19305_CQTA_BIOMM         _19296_2
ok_2011_19330_CQTA_TRIUNFO PART  _21400_2
ok_2011_19437_CQTA_AGCONCESSOES  _15616_2
ok_2011_19445_CQTA_COPASA        _14868_2
ok_2011_19453_CQTA_ECORODOVIAS   _15053_2
ok_2011_19550_CQTA_NATURA        _14348_2
ok_2011_19569_CQTA_GOL           _19865_2
ok_2011_19615_CQTA_GRENDENE      _14648_2
ok_2011_19623_CQTA_DASA          _15393_2
ok_2011_19658_CQTA_POMIFRUTAS    _15063_2
ok_2011_19739_CQTA_LOCALIZA      _14940_2
ok_2011_19763_CQTA_ENERGIAS BR   _14860_2
ok_2011_19879_CQTA_LIGHT SA     _14727_2
ok_2011_19909_CQTA_BR MALLS PAR  _21729_2
ok_2011_19925_CQTA_BR PROPERT    _19623_2
ok_2011_19992_CQTA_TOTVS         _14025_2
ok_2011_20010_CQTA_EQUATORIAL    _23012_2
ok_2011_20028_CQTA_VALID         _15205_2
ok_2011_20060_CQTA_LUPATECH      _15916_2
ok_2011_20087_CQTA_EMBRAER       _15398_2
ok_2011_20125_CQTA_ODONTOPREV    _14645_2
ok_2011_20257_CQTA_TAESA         _19520_2
ok_2011_20320_CQTA_CEMIG GT      _15487_2
ok_2011_20338_CQTA_M.DIASBRANCO  _14693_2
ok_2011_20346_CQTA_PROFARMA      _25376_2
ok_2011_20354_CQTA_TERRA SANTA   _15711_2
ok_2011_20362_CQTA_POSITIVO TEC  _15164_2
ok_2011_20370_CQTA_LOPES BRASIL  _15178_2
ok_2011_20435_CQTA_TECNISA       _15223_2
ok_2011_20451_CQTA_RNI           _15227_2
ok_2011_20478_CQTA_PDG REALT     _16273_2
ok_2011_20494_CQTA_IGUATEMI      _24141_2
ok_2011_20524_CQTA_EVEN          _15479_2
ok_2011_20532_CQTA_SANTANDER BR  _15138_2
erro_2011_20540_CQTA_CPFL RENOVAV  _<class 'selenium.common.exceptions.WebDriverException'>
ok_2011_20567_CQTA_PINE          _14680_2
ok_2011_20575_CQTA_JBS           _15222_2
ok_2011_20605_CQTA_JHSF PART     _15391_2
ok_2011_20613_CQTA_METALFRIO     _14346_2
ok_2011_20621_CQTA_FER HERINGER  _14983_2
erro_2011_20630_CQTA_CR2           _<class 'selenium.common.exceptions.WebDriverException'>
ok_2011_20702_CQTA_VIVER         _15850_2
ok_2011_20710_CQTA_LOG-IN        _15388_2
ok_2011_20745_CQTA_SLC AGRICOLA  _15552_2
ok_2011_20770_CQTA_EZTEC         _14980_2
ok_2011_20788_CQTA_MARFRIG       _22962_2
ok_2011_20800_CQTA_TEGMA         _15029_2
ok_2011_20877_CQTA_HELBOR        _15027_2
ok_2011_20885_CQTA_INDUSVAL      _15370_2
ok_2011_20915_CQTA_MRV           _15064_2
ok_2011_20931_CQTA_MINERVA       _25100_2
ok_2011_20958_CQTA_ABC BRASIL    _15862_2
ok_2011_20966_CQTA_SPRINGS       _15881_2
ok_2011_20982_CQTA_MULTIPLAN     _24277_2
ok_2011_20990_CQTA_B2W DIGITAL   _16136_2
ok_2011_21008_CQTA_GENERALSHOPP  _15264_2
ok_2011_21016_CQTA_ESTACIO PART  _23826_2
ok_2011_21032_CQTA_ALGAR TELEC   _21350_2
ok_2011_21040_CQTA_CYRE COM-CCP  _14717_2
ok_2011_21091_CQTA_DURATEX       _14404_2
ok_2011_21121_CQTA_SUL AMERICA   _14561_2
ok_2011_21130_CQTA_TRISUL        _15680_2
ok_2011_21148_CQTA_TENDA         _16161_2
ok_2011_21156_CQTA_J.MACEDO      _15555_2
ok_2011_21180_CQTA_BR BROKERS    _16019_2
ok_2011_21199_CQTA_BANCO PAN     _15849_2
ok_2011_21237_CQTA_ENEVA         _28175_2
ok_2011_21300_CQTA_ALIANSCE      _23057_2
ok_2011_21342_CQTA_OSX BRASIL    _15814_2
ok_2011_21350_CQTA_DIRECIONAL    _14949_2
ok_2011_21393_CQTA_CELGPAR       _19277_2
ok_2011_21431_CQTA_HYPERA        _14881_2
ok_2011_21490_CQTA_ALUPAR        _24446_2
ok_2011_21555_CQTA_UNIDAS        _29954_2
ok_2011_21610_CQTA_B3            _14310_2
ok_2011_21636_CQTA_RENOVA        _26526_2
ok_2011_21717_CQTA_TARPON INV    _14121_2
ok_2011_21725_CQTA_ADVANCED-DH   _15636_2
ok_2011_21733_CQTA_CIELO         _14181_2
ok_2011_21881_CQTA_FLEURY        _14649_2
ok_2011_21903_CQTA_ECON          _21559_2
ok_2011_22020_CQTA_JSL           _19489_2
ok_2011_22055_CQTA_LOJAS MARISA  _14832_2
ok_2011_22187_CQTA_PETRORIO      _14918_2
ok_2011_22217_CQTA_ALPER S.A.    _15977_2
ok_2011_22349_CQTA_AREZZO CO     _14619_2
ok_2011_22357_CQTA_SIERRABRASIL  _16149_2
ok_2011_22365_CQTA_ENAUTA PART   _15025_2
ok_2011_22454_CQTA_TIME FOR FUN  _14354_2
ok_2011_22470_CQTA_MAGAZ LUIZA   _15992_2
ok_2011_22497_CQTA_QUALICORP     _14562_2
ok_2011_22500_CQTA_BR PHARMA     _15144_2
ok_2011_22519_CQTA_TECHNOS       _15382_2
ok_2011_22551_CQTA_SOMOS EDUCA   _15740_2
ok_2011_22594_CQTA_STATKRAFT     _23001_2
ok_2011_22616_CQTA_BTGP BANCO    _15973_2
ok_2011_22691_CQTA_LOCAMERICA    _17602_2
ok_2011_22799_CQTA_SINQIA        _16954_2
ok_2011_23035_CQTA_LINX          _24197_2
ok_2011_23221_CQTA_SER EDUCA     _32166_2
ok_2011_23574_CQTA_IMC SA       _45184_2
ok_2011_80020_CQTA_GP INVEST     _16236_2
ok_2011_80047_CQTA_WILSON SONS   _15341_2
