;3.01;3.01.01;3.01.01.01;3.01.01.02;3.01.02;3.01.02.01;3.01.02.02;3.01.03;3.01.03.01;3.01.03.02;3.01.03.03;3.01.04;3.01.04.01;3.01.04.02;3.01.04.03;3.01.05;3.01.06;3.01.07;3.01.08;3.01.09;3.01.10;3.01.11;3.01.12;3.01.13;3.01.14;3.01.15;3.01.16;3.01.17;3.02;3.02.01;3.02.01.01;3.02.01.02;3.02.01.03;3.02.02;3.02.02.01;3.02.02.02;3.02.02.03;3.02.03;3.02.03.01;3.02.03.02;3.02.03.03;3.02.04;3.02.04.01;3.02.04.02;3.02.04.03;3.02.05;3.02.06;3.02.07;3.02.08;3.02.09;3.02.10;3.02.11;3.02.12;3.02.13;3.02.14;3.02.15;3.02.16;3.02.17;3.03;3.04;3.04.01;3.04.01.01;3.04.01.02;3.04.01.03;3.04.01.04;3.04.01.05;3.04.01.06;3.04.01.07;3.04.01.08;3.04.01.09;3.04.01.10;3.04.01.11;3.04.01.12;3.04.01.13;3.04.01.14;3.04.01.15;3.04.01.16;3.04.01.17;3.04.01.18;3.04.01.20;3.04.02;3.04.02.01;3.04.02.02;3.04.02.03;3.04.02.04;3.04.02.05;3.04.02.06;3.04.02.07;3.04.02.08;3.04.02.09;3.04.02.10;3.04.02.11;3.04.02.12;3.04.02.13;3.04.02.14;3.04.02.15;3.04.02.16;3.04.02.17;3.04.02.18;3.04.02.19;3.04.02.20;3.04.03;3.04.03.01;3.04.03.02;3.04.03.03;3.04.03.04;3.04.03.05;3.04.03.06;3.04.04;3.04.04.01;3.04.04.02;3.04.04.03;3.04.04.04;3.04.04.05;3.04.04.06;3.04.04.07;3.04.04.08;3.04.04.09;3.04.04.10;3.04.04.11;3.04.04.12;3.04.04.13;3.04.04.14;3.04.04.20;3.04.05;3.04.05.01;3.04.05.02;3.04.05.03;3.04.05.04;3.04.05.05;3.04.05.06;3.04.05.07;3.04.05.08;3.04.05.09;3.04.05.10;3.04.05.11;3.04.05.12;3.04.05.13;3.04.05.14;3.04.05.20;3.04.06;3.04.06.01;3.04.06.02;3.04.06.03;3.04.06.04;3.04.06.05;3.04.06.06;3.04.06.07;3.04.07;3.04.07.01;3.04.08;3.05;3.05.01;3.05.02;3.05.03;3.05.04;3.05.05;3.05.06;3.06;3.06.01;3.06.01.01;3.06.01.02;3.06.01.03;3.06.01.04;3.06.01.05;3.06.01.06;3.06.01.07;3.06.01.08;3.06.01.09;3.06.02;3.06.02.01;3.06.02.02;3.06.02.03;3.06.02.04;3.06.02.05;3.06.02.06;3.06.02.07;3.06.02.08;3.06.02.09;3.06.02.10;3.06.02.11;3.07;3.08;3.08.01;3.08.01.01;3.08.02;3.09;3.09.01;3.09.02;3.10;3.10.01;3.10.01.01;3.10.01.02;3.10.01.03;3.10.01.04;3.10.01.20;3.10.02;3.10.02.01;3.10.02.02;3.10.02.03;3.11;3.11.01;3.11.02;3.12;3.12.01;3.12.02;3.13;3.13.01;3.13.02;3.99;3.99.01;3.99.01.01;3.99.01.02;3.99.01.03;3.99.01.04;3.99.02;3.99.02.01;3.99.02.02;3.99.02.03;3.99.02.04;ano;cvm;empresa_descr
valores;283.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;-265.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.806;-42.712;-15.385;;;;;;;;;;;;;;;;;;;;-19.086;-1.510;-13.021;-1.610;-2.945;;;;;;;;;;;;;;;;;;;;;;;;1.798;1.798;;;;;;;;;;;;;;;-10.039;-10.039;;;;;;;;;;;;;;;0;0;;;;;;;;;;-24.906;;;;;;;-1.745;1.704;984;720;;;;;;;;-3.449;-4.110;661;;;;;;;;;;-26.651;-271;-931;;660;-26.922;;;;;;;;;;;;;;-26.922;-26.922;;;;;;;;;;-0,03313;-0,02727;-0,04880;;;;;;;2010;11398;CRISTAL
valores;1.124.049;1.117.376;;;2.599;;;3.486;;;;588;;;;;;;;;;;;;;;;;-601.792;-601.792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;522.257;-314.082;181.426;;;;;;;;;;;;;;;;;;;;-212.755;;;;;;;;;;;;;;;;;;;;;-132.133;;;;;;;-50.023;;;;;;;;;;;;;;;;112.332;39.343;45.234;7.470;;20.285;;;;;;;;;;;-212.929;-108.817;-16.651;-17.018;;;-57.219;-13.224;;;;208.175;;;;;;;-66.000;-45.289;;;;;;;;;;-20.711;;;;;;;;;;;;142.175;;;;;142.175;142.159;16;;;;;;;;;;;;;;;;;;;;;;;0,94000;0,94000;;;;0,94000;0,94000;;;2010;1155;BANESTES
valores;316.234;;;;;;;;;;;;;;;;;;;;;;;;;;;;-193.921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122.313;-79.882;-40.080;;;;;;;;;;;;;;;;;;;;-43.372;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.570;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;42.431;;;;;;;141;78.352;76.899;1.453;;;;;;;;-78.211;;;;;;;;;;;;42.572;-12.276;;;;30.296;;;0;;;;;;;0;;;;30.296;30.296;0;;;;;;;;;;;;;;;;;;2010;11592;UNIPAR
valores;1.953.133;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.351.390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;601.743;-411.994;-314.663;;;;;;;;;;;;;;;;;;;;-136.523;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.126;;;;;;;;;;;;;;;;-4.070;;;;;;;;;;;;;;;;3.136;;;;;;;;;;;189.749;;;;;;;-76.959;26.105;;;;;;;;;;-103.064;;;;;;;;;;;;112.790;8.219;-2.084;;10.303;121.009;;;;;;;;;;;;;;121.009;120.958;51;;;;;;;;;;;;;;;;;;2010;11762;VULCABRAS
valores;2.227.398;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.810.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;416.617;-155.060;-69.300;;;;;;;;;;;;;;;;;;;;-85.086;-80.554;-4.532;;;;;;;;;;;;;;;;;;;;;;;;;;7.105;;;;;;;;;;;;;;;;-7.779;;;;;;;;;;;;;;;;;;;;;;;;;;;261.557;;;;;;;-29.506;24.974;;;;;;;;;;-54.480;;;;;;;;;;;;232.051;-67.898;-45.073;;-22.825;164.153;;;;;;;;;;;;;;164.153;164.153;;;;;;;;;;1,97760;;;;;1,97460;;;;2010;11932;IOCHP-MAXION
valores;327.356;357.762;;;-30.406;;;;;;;;;;;;;;;;;;;;;;;;-278.030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.326;-18.410;-168;;;;;;;;;;;;;;;;;;;;-13.618;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.916;;;;;;;-7.415;1.518;;;;;;;;;;-8.933;;;;;;;;;;;;23.501;-7.324;;;;16.177;;;;;;;;;;;;;;16.177;16.169;8;;;;;;;;;;;;;;;;;;2010;11975;AZEVEDO
valores;225.950;;;;;;;;;;;;;;;;;;;;;;;;;;;;-168.528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.422;-49.285;-15.550;;;;;;;;;;;;;;;;;;;;-23.662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10.073;;;;;;;;;;;;;;;;;;;;;;;;;;;8.137;;;;;;;-9.941;1.041;;;;;;;;;;-10.982;;;;;;;;;;;;-1.804;1.020;;;1.020;-784;;;;;;;;;;;;;;-784;-731;-53;;;;;;;;;-0,14000;-0,14000;;;;;;;;2010;11991;WETZEL SA
valores;4.596.645;4.596.645;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.925.824;-1.925.824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.670.821;-1.543.188;668.334;;;;;;;;;;;;;;;;;;;;-1.016.062;;;;;;;;;;;;;;;;;;;;;-726.238;;;;;;;-203.998;;;;;;;;;;;;;;;;258.857;2.700;55.657;23.661;176.839;;;;;;;;;;;;-524.081;-344.426;-179.655;;;;;;;;;1.127.633;;;;;;;-367.380;-372.518;;;;;;;;;;5.138;;;;;;;;;;;;760.253;;;;;760.253;760.031;222;;;;;;;;;;;;;;;;;;;;;;;0,00186;0,00200;0,00186;;;;;;;2010;1210;BANRISUL
valores;804.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;-439.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;365.924;-330.568;-256.973;-40.292;-41.150;-74.518;-81.392;-758;-3.784;-2.215;-5.850;-7.014;;;;;;;;;;;-60.168;-21.179;-13.214;-16.954;-1.730;-686;-262;-374;-5.769;;;;;;;;;;;;;;;;;;;;11.023;11.023;;;;;;;;;;;;;;;-24.450;-22.929;-1.521;;;;;;;;;;;;;;;;;;;;;;;;;35.356;;;;;;;-20.546;28.963;7.254;21.709;;;;;;;;-49.509;-42.044;-7.465;;;;;;;;;;14.810;13.507;-3.171;;16.678;28.317;;;;;;;;;;;;;;28.317;28.302;15;;;;;;;;;0,52000;0,52000;;;;0,52000;0,52000;;;2010;12190;BOMBRIL
valores;1.571.423;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.297.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274.220;-260.564;-113.573;;;;;;;;;;;;;;;;;;;;-136.739;-63.606;-73.133;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;-10.364;;;;;;;;;;;;;;;;112;;;;;;;;;;;13.656;;;;;;;-872;18.854;;;;;;;;;;-19.726;;;;;;;;;;;;12.784;2.947;;;;15.731;;;-4.210;-4.598;;;;;;388;;;;11.521;11.521;0;;;;;;;;;;;;;;;;;;2010;12530;ITAUTEC
valores;33.668;;;;;;;;;;;;;;;;;;;;;;;;;;;;-25.670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.998;-4.346;-2.136;;;;;;;;;;;;;;;;;;;;-6.321;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.057;;;;;;;;;;;;;;;;-3.946;;;;;;;;;;;;;;;;;;;;;;;;;;;3.652;;;;;;;-8.750;1.772;;;;;;;;;;-10.522;;;;;;;;;;;;-5.098;-1.394;;;-1.394;-6.492;;;;;;;;;;;;;;-6.492;-6.494;2;;;;;;;;;-0,29140;-0,16350;;;;-0,29140;-0,16350;;;2010;12572;RECRUSUL
valores;3.663.317;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.292.478;448.625;;;;-2.741.103;;;;;;;;;;;;;;;;;;;;;;;;;1.370.839;-549.450;-300.153;;;;;;;;;;;;;;;;;;;;-214.876;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.660;;;;;;;;;;;;;;;;-45.081;;;;;;;;;;;;;;;;;;;;;;;;;;;821.389;;;;;;;50.594;213.162;;;;;;;;;;-162.568;;;;;;;;;;;;871.983;-289.831;-100.545;;-189.286;582.152;;;;;;;;;;;;;;582.152;559.776;22.376;;;;;;;;;0,58520;0,64360;;;;0,58520;0,64360;;;2010;12653;KLABIN SA
valores;365.299;;;;;;;;;;;;;;;;;;;;;;;;;;;;-261.094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104.205;-87.117;-52.730;;;;;;;;;;;;;;;;;;;;-34.453;-3.513;-30.940;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;17.088;;;;;;;-45.885;1.550;;;;;;;;;;-47.435;;;;;;;;;;;;-28.797;-144;-2.268;;2.124;-28.941;;;;;;;;;;;;;;-28.941;-31.876;2.935;;;;;;;;;;;;;;;;;;2010;12696;SANSUY
valores;70.636;;;;;;;;;;;;;;;;;;;;;;;;;;;;-40.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.498;-23.332;-2.466;;;;;;;;;;;;;;;;;;;;-23.865;-22.556;-1.309;;;;;;;;;;;;;;;;;;;;;;;;;;2.999;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;7.166;;;;;;;-1.284;3.567;;;;;;;;;;-4.851;;;;;;;;;;;;5.882;-1.311;;;;4.571;;;;;;;;;;;;;;4.571;4.565;6;;;;;;;;;;;;;;;;;;2010;12823;ALIPERTI
valores;1.971.210;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.229.877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;741.333;-455.031;103.121;;;;;;;;;;;;;;;;;;;;-374.631;;;;;;;;;;;;;;;;;;;;;-239.331;;;;;;;-15.883;;;;;;;;;;;;;;;;428.633;8.280;6.289;414.064;;;;;;;;;;;;;-356.940;-23.770;-278.471;-2.540;-1.102;-51.057;;;;;;286.302;;;;;;;-94.936;-49.963;;;;;;;;;;-44.973;;;;;;;;;;;;191.366;;;;;191.366;185.672;5.694;;;;;;;;;;;;;;;;;;;;;;;5,24500;5,24500;;;;;;;;2010;1325;MERC BRASIL
valores;688.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;-503.966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.075;-148.081;-99.109;;;;;;;;;;;;;;;;;;;;-49.982;-2.001;-47.141;-840;;;;;;;;;;;;;;;;;;;;;;;;;1.010;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;35.994;;;;;;;-13.028;20.324;;;;;;;;;;-33.352;;;;;;;;;;;;22.966;-9.175;-9.175;;0;13.791;;;;;;;;;;;;;;13.791;12.155;1.636;;;;;;;;;1,14721;1,26193;;;;1,14721;1,26193;;;2010;13285;JOSAPAR
valores;839.959;;;;;;;;;;;;;;;;;;;;;;;;;;;;-683.413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156.546;-103.222;-43.707;;;;;;;;;;;;;;;;;;;;-65.213;-53.019;-10.038;-2.156;;;;;;;;;;;;;;;;;;;;;;;;;5.698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.324;;;;;;;-49.980;3.485;;;;;;;;;;-53.465;;;;;;;;;;;;3.344;5.831;;;5.831;9.175;;;;;;;;;;;;;;9.175;9.151;24;;;;;;;;;;;;;;;;;;2010;13471;PLASCAR PART
valores;119.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;-109.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.399;-15.256;-7.324;;;;;;;;;;;;;;;;;;;;-19.218;-1.451;-17.767;;;;;;;;;;;;;;;;;;;;;;;;;;14.133;0;1.108;13.025;;;;;;;;;;;;;-2.847;-2.847;0;;;;;;;;;;;;;;;;;;;;;;;;;-5.857;;;;;;;-15.442;7.584;;;;;;;;;;-23.026;;;;;;;;;;;;-21.299;-9.063;0;;-9.063;-30.362;;;;;;;;;;;;;;-30.362;-30.304;-58;;;;;;;;;;;;;;;;;;2010;13765;MINUPAR
valores;511.415;;;;;;;;;;;;;;;;;;;;;;;;;;;;-347.971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163.444;-94.055;-75.754;;;;;;;;;;;;;;;;;;;;-16.985;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.245;;;;;;;;;;;;;;;;-16.561;-15.203;-1.358;;;;;;;;;;;;;;;;;;;;;;;;;69.389;;;;;;;-25.991;15.706;;;;;;;;;;-41.697;;;;;;;;;;;;43.398;-2.669;-10.069;;7.400;40.729;;;-8.425;;;;;;;;;;;32.304;32.295;9;;;;;;;;;0,20000;;;;;0,20000;;;;2010;13773;PORTOBELLO
valores;243.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;-50.158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193.046;-28.055;;;;;;;;;;;;;;;;;;;;;-22.412;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.500;;;;;;;;;;;;;;;;-16.143;;;;;;;;;;;;;;;;;;;;;;;;;;;164.991;;;;;;;-54.464;37.067;;;;;;;;;;-91.531;;;;;;;;;;;;110.527;-18.593;-16.670;;-1.923;91.934;;;;;;;;;;;;;;91.934;91.934;;;;;;;;;;;;;;;;;;;2010;13781;SAO CARLOS
valores;978.889;975.270;;;3.619;;;;;;;;;;;;;;;;;;;;;;;;-768.897;-768.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209.992;-98.727;27.514;;;;;;;;;;;;;;;;;;;;-67.878;;;;;;;;;;;;;;;;;;;;;-57.222;-57.222;;;;;;;;;;;;;;;;;;;;;;72.120;69.854;2.266;;;;;;;;;;;;;;-73.261;-10.519;0;-21.202;-41.540;;;;;;;111.265;;;;;;;-34.416;-54.476;;;;;;;;;;20.060;;;;;;;;;;;;76.849;;;;;76.849;71.415;5.434;;;;;;;;;;;;;;;;;;;;;;;0,76094;0,83701;;;;41,05200;30,36300;;;2010;1384;ALFA INVEST
valores;4.513.883;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.148.502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.365.381;-213.936;-227.993;;;;;;;;;;;;;;;;;;;;-288.473;;;;;;;;;;;;;;;;;;;;;;;;;;;;334.483;;;;;;;;;;;;;;;;-31.953;;;;;;;;;;;;;;;;;;;;;;;;;;;1.151.445;;;;;;;-252.378;191.934;;;;;;;;;;-444.312;;;;;;;;;;;;899.067;-130.070;-126.904;;-3.166;768.997;;;;;;;;;;;;;;768.997;768.997;;;;;;;;;;1,97777;2,17555;2,17555;;;1,97657;2,17223;2,17555;;2010;13986;SUZANO S.A
