Razão Social                                      	Nome de Pregão	Segmento	Código CVM
BR HOME CENTERS S.A.                              	BR HOME       	MA      	23710     
BR MALLS PARTICIPACOES S.A.                       	BR MALLS PAR  	NM      	19909     
BR PROPERTIES S.A.                                	BR PROPERT    	NM      	19925     
BRADESCO LEASING S.A. ARREND MERCANTIL            	BRADESCO LSG  	        	19640     
BRADESPAR S.A.                                    	BRADESPAR     	N1      	18724     
BRASIL BROKERS PARTICIPACOES S.A.                 	BR BROKERS    	NM      	21180     
BRASIL PHARMA S.A.                                	BR PHARMA     	NM      	22500     
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS           	BRASILAGRO    	NM      	20036     
BRASKEM S.A.                                      	BRASKEM       	N1      	4820      
BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS     	BRAZIL REALT  	        	19720     
BRAZILIAN FINANCE E REAL ESTATE S.A.              	BRAZILIAN FR  	        	17922     
BRAZILIAN SECURITIES CIA SECURITIZACAO            	BRAZILIAN SC  	        	18759     
BRB BCO DE BRASILIA S.A.                          	BRB BANCO     	        	14206     
BRC SECURITIZADORA S.A.                           	BRC SECURIT   	        	20672     
BRF S.A.                                          	BRF SA        	NM      	16292     
BRPR 55 SECURITIZADORA CRED IMOB S.A.             	BRPR 55 SEC   	        	19941     
BRPR 56 SECURITIZADORA CRED IMOB S.A.             	BRPR 56 SEC   	        	19984     
BRQ SOLUCOES EM INFORMATICA S.A.                  	BRQ           	MA      	23817     
BV LEASING - ARRENDAMENTO MERCANTIL S.A.          	BV LEASING    	        	20133     
CABINDA PARTICIPACOES S.A.                        	CABINDA PART  	MB      	19119     
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.      	CACHOEIRA     	MB      	22683     
CACONDE PARTICIPACOES S.A.                        	CACONDE PART  	MB      	19135     
CAMBUCI S.A.                                      	CAMBUCI       	        	2100      
CAMIL ALIMENTOS S.A.                              	CAMIL         	NM      	24228     
CAPITALPART PARTICIPACOES S.A.                    	CAPITALPART   	MB      	17493     
CCR S.A.                                          	CCR SA        	NM      	18821     
CCX CARVÃO DA COLÔMBIA S.A.                       	CCX CARVAO    	NM      	20184     
CELULOSE IRANI S.A.                               	CELUL IRANI   	        	2429      
CEMEPE INVESTIMENTOS S.A.                         	CEMEPE        	        	13854     
CEMIG DISTRIBUICAO S.A.                           	CEMIG DIST    	        	20303     
CEMIG GERACAO E TRANSMISSAO S.A.                  	CEMIG GT      	        	20320     
CENTRAIS ELET BRAS S.A. - ELETROBRAS              	ELETROBRAS    	N1      	2437      
CENTRAIS ELET DE SANTA CATARINA S.A.              	CELESC        	N2      	2461      
CENTRAIS ELET DO PARA S.A. - CELPA                	CELPA         	        	18309     
CENTRO DE IMAGEM DIAGNOSTICOS S.A.                	ALLIAR        	NM      	24058     
CESP - CIA ENERGETICA DE SAO PAULO                	CESP          	N1      	2577      
CIA BRASILEIRA DE DISTRIBUICAO                    	P.ACUCAR-CBD  	N1      	14826     
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN          	CASAN         	        	16861     
CIA CELG DE PARTICIPACOES - CELGPAR               	CELGPAR       	        	21393     
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG          	CEG           	        	16616     
CIA ELETRICIDADE EST. DA BAHIA - COELBA           	COELBA        	        	14524     
CIA ENERGETICA DE BRASILIA                        	CEB           	        	14451     
CIA ENERGETICA DE MINAS GERAIS - CEMIG            	CEMIG         	N1      	2453      
CIA ENERGETICA DE PERNAMBUCO - CELPE              	CELPE         	        	14362     
CIA ENERGETICA DO CEARA - COELCE                  	COELCE        	        	14869     
CIA ENERGETICA DO MARANHAO - CEMAR                	CEMAR         	MB      	16608     
CIA ENERGETICA DO RIO GDE NORTE - COSERN          	COSERN        	        	18139     
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D          	CEEE-D        	N1      	20648     
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT          	CEEE-GT       	N1      	3204      
CIA FERRO LIGAS DA BAHIA - FERBASA                	FERBASA       	N1      	3069      
CIA FIACAO TECIDOS CEDRO CACHOEIRA                	CEDRO         	N1      	3077      
CIA GAS DE SAO PAULO - COMGAS                     	COMGAS        	        	15636     
CIA HABITASUL DE PARTICIPACOES                    	HABITASUL     	        	3298      
CIA HERING                                        	CIA HERING    	NM      	14761     
CIA INDUSTRIAL CATAGUASES                         	IND CATAGUAS  	        	3395      
CIA LOCAÇÃO DAS AMÉRICAS                          	LOCAMERICA    	NM      	22691     
CIA MELHORAMENTOS DE SAO PAULO                    	MELHOR SP     	        	3654      
CIA PARANAENSE DE ENERGIA - COPEL                 	COPEL         	N1      	14311     
CIA PARTICIPACOES ALIANCA DA BAHIA                	PAR AL BAHIA  	        	18708     
CIA PAULISTA DE FORCA E LUZ                       	PAUL F LUZ    	        	3824      
CIA PIRATININGA DE FORCA E LUZ                    	CPFL PIRATIN  	        	19275     
CIA SANEAMENTO BASICO EST SAO PAULO               	SABESP        	NM      	14443     
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG          	COPASA        	NM      	19445     
CIA SANEAMENTO DO PARANA - SANEPAR                	SANEPAR       	N2      	18627     
CIA SEGUROS ALIANCA DA BAHIA                      	SEG AL BAHIA  	        	3115      
CIA SIDERURGICA NACIONAL                          	SID NACIONAL  	        	4030      
CIA TECIDOS NORTE DE MINAS COTEMINAS              	COTEMINAS     	        	3158      
CIA TECIDOS SANTANENSE                            	SANTANENSE    	        	4081      
CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO  	CIBRASEC      	        	18287     
CIELO S.A.                                        	CIELO         	NM      	21733     
CIMS S.A.                                         	CIMS          	        	14818     
CINESYSTEM S.A.                                   	CINESYSTEM    	MA      	23965     
CONC AUTO RAPOSO TAVARES S.A.                     	CONC RAPOSO   	        	22268     
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A. 	GRUAIRPORT    	MB      	23515     
CONC ECOVIAS IMIGRANTES S.A.                      	ECOVIAS       	        	20397     
CONC RIO-TERESOPOLIS S.A.                         	CONC RIO TER  	MB      	19208     
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS 	ECOPISTAS     	        	22411     
CONC ROD.OESTE SP VIAOESTE S.A                    	VIAOESTE      	        	21024     
CONC RODOVIAS DO TIETÊ S.A.                       	ROD TIETE     	        	22721     
CONC ROTA DAS BANDEIRAS S.A.                      	RT BANDEIRAS  	        	22071     
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN          	AUTOBAN       	        	20192     
CONSERVAS ODERICH S.A.                            	ODERICH       	        	4693      
CONSORCIO ALFA DE ADMINISTRACAO S.A.              	ALFA CONSORC  	        	4707      
CONSTRUTORA ADOLPHO LINDENBERG S.A.               	CONST A LIND  	        	4723      
CONSTRUTORA TENDA S.A.                            	TENDA         	NM      	21148     
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA          	COR RIBEIRO   	        	4863      
COSAN LOGISTICA S.A.                              	COSAN LOG     	NM      	23485     
COSAN S.A.                                        	COSAN         	NM      	19836     
CPFL ENERGIA S.A.                                 	CPFL ENERGIA  	NM      	18660     
CPFL ENERGIAS RENOVÁVEIS S.A.                     	CPFL RENOVAV  	NM      	20540     
CPFL GERACAO DE ENERGIA S.A.                      	CPFL GERACAO  	        	18953     
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.             	CR2           	NM      	20630     
CRISTAL PIGMENTOS DO BRASIL S.A.                  	CRISTAL       	        	11398     
CSU CARDSYSTEM S.A.                               	CSU CARDSYST  	NM      	20044     
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.        	CTC S.A.      	MA      	23981     
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA 	TRAN PAULIST  	N1      	18376     
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    	CVC BRASIL    	NM      	23310     
CYRELA BRAZIL REALTY S.A.EMPREEND E PART          	CYRELA REALT  	NM      	14460     
CYRELA COMMERCIAL PROPERT S.A. EMPR PART          	CYRE COM-CCP  	NM      	21040     
DIAGNOSTICOS DA AMERICA S.A.                      	DASA          	        	19623     
DIBENS LEASING S.A. - ARREND.MERCANTIL            	DIBENS LSG    	        	14214     
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS          	DIMED         	        	9342      
DIRECIONAL ENGENHARIA S.A.                        	DIRECIONAL    	NM      	21350     
DOHLER S.A.                                       	DOHLER        	        	5207      
DOMMO ENERGIA S.A.                                	DOMMO         	        	23493     
DTCOM - DIRECT TO COMPANY S.A.                    	DTCOM-DIRECT  	        	18597     
DURATEX S.A.                                      	DURATEX       	NM      	21091     
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A. 	ECO SEC AGRO  	MB      	21741     
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.            	ECON          	        	21903     
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.       	ECORODOVIAS   	NM      	19453     
EDP - ENERGIAS DO BRASIL S.A.                     	ENERGIAS BR   	NM      	19763     
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.   	ESCELSA       	        	15342     
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.        	EBE           	        	16985     
ELECTRO ACO ALTONA S.A.                           	ACO ALTONA    	        	5380      
ELEKEIROZ S.A.                                    	ELEKEIROZ     	        	4359      
ELEKTRO REDES S.A.                                	ELEKTRO       	        	17485     
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR         	ELETROPAR     	        	15784     
ELETRON S.A.                                      	ELETRON       	MB      	16209     
ELETROPAULO METROP. ELET. SAO PAULO S.A.          	ELETROPAULO   	NM      	14176     
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.          	EMAE          	        	16993     
EMBRAER S.A.                                      	EMBRAER       	NM      	20087     
EMPRESA CONC RODOV DO NORTE S.A.ECONORTE          	ECONORTE      	        	19011     
EMPRESA NAC COM REDITO PART S.A.ENCORPAR          	ENCORPAR      	        	16497     
ENAUTA PARTICIPAÇÕES S.A.                         	ENAUTA PART   	NM      	22365     
ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.	ENERSUL       	        	5576      
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A 	ENERGISA MT   	        	14605     
ENERGISA S.A.                                     	ENERGISA      	N2      	15253     
ENEVA S.A                                         	ENEVA         	NM      	21237     
ENGIE BRASIL ENERGIA S.A.                         	ENGIE BRASIL  	NM      	17329     
EQUATORIAL ENERGIA S.A.                           	EQUATORIAL    	NM      	20010     
ESTACIO PARTICIPACOES S.A.                        	ESTACIO PART  	NM      	21016     
ETERNIT S.A.                                      	ETERNIT       	NM      	5762      
EUCATEX S.A. INDUSTRIA E COMERCIO                 	EUCATEX       	N1      	5770      
EVEN CONSTRUTORA E INCORPORADORA S.A.             	EVEN          	NM      	20524     
EXCELSIOR ALIMENTOS S.A.                          	EXCELSIOR     	        	1570      
EZ TEC EMPREEND. E PARTICIPACOES S.A.             	EZTEC         	NM      	20770     
FERREIRA GOMES ENERGIA S.A.                       	FGENERGIA     	        	22977     
FERROVIA CENTRO-ATLANTICA S.A.                    	FER C ATLANT  	        	15369     
FERTILIZANTES HERINGER S.A.                       	FER HERINGER  	NM      	20621     
FINANCEIRA ALFA S.A.- CRED FINANC E INVS          	ALFA FINANC   	        	3891      
FINANSINOS S.A.- CREDITO FINANC E INVEST          	FINANSINOS    	        	6076      
FLEURY S.A.                                       	FLEURY        	NM      	21881     
FLEX GESTÃO DE RELACIONAMENTOS S.A.               	FLEX S/A      	MA      	24350     
FRAS-LE S.A.                                      	FRAS-LE       	N1      	6211      
GAFISA S.A.                                       	GAFISA        	NM      	16101     
GAIA AGRO SECURITIZADORA S.A.                     	GAIA AGRO     	        	22764     
GAIA SECURITIZADORA S.A.                          	GAIA SECURIT  	MB      	20222     
GAMA PARTICIPACOES S.A.                           	GAMA PART     	MB      	17965     
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.         	GENERALSHOPP  	NM      	21008     
GERDAU S.A.                                       	GERDAU        	N1      	3980      
GOL LINHAS AEREAS INTELIGENTES S.A.               	GOL           	N2      	19569     
GP INVESTMENTS, LTD.                              	GP INVEST     	DR3     	80020     
GPC PARTICIPACOES S.A.                            	GPC PART      	        	16632     
GRAZZIOTIN S.A.                                   	GRAZZIOTIN    	        	4537      
GRENDENE S.A.                                     	GRENDENE      	NM      	19615     
GRUPO SBF SA                                      	CENTAURO      	NM      	24694     
GUARARAPES CONFECCOES S.A.                        	GUARARAPES    	        	4669      
HAGA S.A. INDUSTRIA E COMERCIO                    	HAGA S/A      	        	13366     
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA          	HAPVIDA       	NM      	24392     
HELBOR EMPREENDIMENTOS S.A.                       	HELBOR        	NM      	20877     
HERCULES S.A. FABRICA DE TALHERES                 	HERCULES      	        	6629      
HOTEIS OTHON S.A.                                 	HOTEIS OTHON  	        	6700      
HYPERA S.A.                                       	HYPERA        	NM      	21431     
IDEIASNET S.A.                                    	IDEIASNET     	        	18414     
IGB ELETRÔNICA S/A                                	IGB S/A       	        	6815      
IGUA SANEAMENTO S.A.                              	IGUA SA       	MA      	23175     
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A          	IGUATEMI      	NM      	20494     
INDUSTRIAS J B DUARTE S.A.                        	J B DUARTE    	        	12319     
INDUSTRIAS ROMI S.A.                              	INDS ROMI     	NM      	7510      
INEPAR S.A. INDUSTRIA E CONSTRUCOES               	INEPAR        	        	7595      
INNCORP S.A.                                      	SELECTPART    	MB      	17558     
INSTITUTO HERMES PARDINI S.A.                     	IHPARDINI     	NM      	24090     
INTER CONSTRUTORA E INCORPORADORA S.A.            	INTER SA      	MA      	24279     
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.       	IMC S/A       	NM      	23574     
INVESTIMENTOS BEMGE S.A.                          	INVEST BEMGE  	        	6041      
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR 	INVEPAR       	MB      	18775     
IOCHPE MAXION S.A.                                	IOCHP-MAXION  	NM      	11932     
IRB - BRASIL RESSEGUROS S.A.                      	IRBBRASIL RE  	NM      	24180     
ITAPEBI GERACAO DE ENERGIA S.A.                   	ITAPEBI       	        	19364     
ITAU UNIBANCO HOLDING S.A.                        	ITAUUNIBANCO  	N1      	19348     
ITAUSA INVESTIMENTOS ITAU S.A.                    	ITAUSA        	N1      	7617      
ITAUTEC S.A. - GRUPO ITAUTEC                      	ITAUTEC       	        	12530     
J. MACEDO S.A.                                    	J.MACEDO      	        	21156     
JBS S.A.                                          	JBS           	NM      	20575     
JEREISSATI PARTICIPACOES S.A.                     	JEREISSATI    	        	8672      
JHSF PARTICIPACOES S.A.                           	JHSF PART     	NM      	20605     
JOAO FORTES ENGENHARIA S.A.                       	JOAO FORTES   	        	7811      
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP          	JOSAPAR       	        	13285     
JSL S.A.                                          	JSL           	NM      	22020     
KARSTEN S.A.                                      	KARSTEN       	        	4146      
KEPLER WEBER S.A.                                 	KEPLER WEBER  	        	7870      
KLABIN S.A.                                       	KLABIN S/A    	N2      	12653     
KROTON EDUCACIONAL S.A.                           	KROTON        	NM      	17973     
LIBRA TERMINAL RIO S.A.                           	LIBRA T RIO   	        	23434     
LIGHT S.A.                                        	LIGHT S/A     	NM      	19879     
LIGHT SERVICOS DE ELETRICIDADE S.A.               	LIGHT         	        	8036      
LINX S.A.                                         	LINX          	NM      	23035     
LIQ PARTICIPAÇÕES S.A.                            	LIQ           	NM      	19100     
LITEL PARTICIPACOES S.A.                          	LITEL         	MB      	15091     
LOCALIZA RENT A CAR S.A.                          	LOCALIZA      	NM      	19739     
LOG COMMERCIAL PROPERTIES                         	LOG COM PROP  	NM      	23272     
LOG-IN LOGISTICA INTERMODAL S.A.                  	LOG-IN        	NM      	20710     
LOJAS AMERICANAS S.A.                             	LOJAS AMERIC  	N1      	8087      
LOJAS HERING S.A.                                 	LOJAS HERING  	        	8117      
LOJAS RENNER S.A.                                 	LOJAS RENNER  	NM      	8133      
LONGDIS S.A.                                      	LONGDIS       	MB      	17434     
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.          	LOPES BRASIL  	NM      	20370     
LUPATECH S.A.                                     	LUPATECH      	NM      	20060     
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS           	M.DIASBRANCO  	NM      	20338     
MAESTRO LOCADORA DE VEICULOS S.A.                 	MAESTROLOC    	MA      	23612     
MAGAZINE LUIZA S.A.                               	MAGAZ LUIZA   	NM      	22470     
MAHLE-METAL LEVE S.A.                             	METAL LEVE    	NM      	8575      
MANGELS INDUSTRIAL S.A.                           	MANGELS INDL  	        	8397      
MANUFATURA DE BRINQUEDOS ESTRELA S.A.             	ESTRELA       	        	8427      
MARCOPOLO S.A.                                    	MARCOPOLO     	N2      	8451      
MARFRIG GLOBAL FOODS S.A.                         	MARFRIG       	NM      	20788     
MARISA LOJAS S.A.                                 	LOJAS MARISA  	NM      	22055     
MENDES JUNIOR ENGENHARIA S.A.                     	MENDES JR     	        	4782      
MERCANTIL BRASIL FINANC S.A. C.F.I.               	MERC FINANC   	        	8540      
METALFRIO SOLUTIONS S.A.                          	METALFRIO     	NM      	20613     
METALGRAFICA IGUACU S.A.                          	METAL IGUACU  	        	8605      
METALURGICA GERDAU S.A.                           	GERDAU MET    	N1      	8656      
METALURGICA RIOSULENSE S.A.                       	RIOSULENSE    	        	13439     
METISA METALURGICA TIMBOENSE S.A.                 	METISA        	        	8753      
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.             	MGI PARTICIP  	        	22942     
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.    	MILLS         	NM      	22012     
MINASMAQUINAS S.A.                                	MINASMAQUINA  	        	8818      
MINERVA S.A.                                      	MINERVA       	NM      	20931     
MINUPAR PARTICIPACOES S.A.                        	MINUPAR       	        	13765     
MMX MINERACAO E METALICOS S.A.                    	MMX MINER     	NM      	17914     
MONTEIRO ARANHA S.A.                              	MONT ARANHA   	        	8893      
MOVIDA PARTICIPACOES SA                           	MOVIDA        	NM      	23825     
MRS LOGISTICA S.A.                                	MRS LOGIST    	MB      	17949     
MRV ENGENHARIA E PARTICIPACOES S.A.               	MRV           	NM      	20915     
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.            	MULTIPLAN     	N2      	20982     
MULTIPLUS S.A.                                    	MULTIPLUS     	        	21946     
MUNDIAL S.A. - PRODUTOS DE CONSUMO                	MUNDIAL       	        	5312      
NADIR FIGUEIREDO IND E COM S.A.                   	NADIR FIGUEI  	        	9040      
NATURA COSMETICOS S.A.                            	NATURA        	NM      	19550     
NEOENERGIA S.A.                                   	NEOENERGIA    	MB      	15539     
NORDON INDUSTRIAS METALURGICAS S.A.               	NORDON MET    	        	9083      
NORTEC QUÍMICA S.A.                               	NORTCQUIMICA  	MA      	22985     
NOTRE DAME INTERMEDICA PARTICIPACOES SA           	INTERMEDICA   	NM      	24384     
NUTRIPLANT INDUSTRIA E COMERCIO S.A.              	NUTRIPLANT    	MA      	21334     
OCTANTE SECURITIZADORA S.A.                       	OCTANTE SEC   	        	22390     
ODONTOPREV S.A.                                   	ODONTOPREV    	NM      	20125     
OI S.A.                                           	OI            	N1      	11312     
OMEGA GERAÇÃO S.A.                                	OMEGA GER     	NM      	23426     
OPPORTUNITY ENERGIA E PARTICIPACOES S.A.          	OPPORT ENERG  	MB      	16942     
OSX BRASIL S.A.                                   	OSX BRASIL    	NM      	21342     
OURINVEST SECURITIZADORA SA                       	OURINVESTSEC  	        	22250     
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.         	OUROFINO S/A  	NM      	23507     
OURO VERDE LOCACAO E SERVICO S.A.                 	OURO VERDE    	        	23280     
PANATLANTICA S.A.                                 	PANATLANTICA  	        	94        
PARANA BCO S.A.                                   	PARANA        	        	20729     
PARANAPANEMA S.A.                                 	PARANAPANEMA  	NM      	9393      
PATRIA CIA SECURITIZADORA DE CRED IMOB            	PATRIA SEC    	        	18236     
PBG S/A                                           	PORTOBELLO    	NM      	13773     
PDG COMPANHIA SECURITIZADORA                      	PDG SECURIT   	        	21644     
PDG REALTY S.A. EMPREEND E PARTICIPACOES          	PDG REALT     	NM      	20478     
PETRO RIO S.A.                                    	PETRORIO      	NM      	22187     
PETROBRAS DISTRIBUIDORA S/A                       	PETROBRAS BR  	NM      	24295     
PETROLEO BRASILEIRO S.A. PETROBRAS                	PETROBRAS     	N2      	9512      
PETTENATI S.A. INDUSTRIA TEXTIL                   	PETTENATI     	        	9539      
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            	PLASCAR PART  	        	13471     
POLO CAPITAL SECURITIZADORA S.A                   	POLO CAP SEC  	        	22160     
POLPAR S.A.                                       	POLPAR        	        	13447     
POMIFRUTAS S/A                                    	POMIFRUTAS    	NM      	19658     
PORTO SEGURO S.A.                                 	PORTO SEGURO  	NM      	16659     
PORTO SUDESTE V.M. S.A.                           	PORTO VM      	        	23523     
POSITIVO TECNOLOGIA S.A.                          	POSITIVO TEC  	NM      	20362     
PPLA PARTICIPATIONS LTD.                          	PPLA          	DR3     	80152     
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA         	PRATICA       	M2      	24546     
PRINER SERVIÇOS INDUSTRIAIS S.A.                  	PRINER        	MA      	24236     
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN          	PROMAN        	MB      	19232     
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.          	PROFARMA      	NM      	20346     
PROMPT PARTICIPACOES S.A.                         	PROMPT PART   	MB      	18333     
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A. 	QUALICORP     	NM      	22497     
QUALITY SOFTWARE S.A.                             	QUALITY SOFT  	MA      	23302     
RAIA DROGASIL S.A.                                	RAIADROGASIL  	NM      	5258      
RAIZEN ENERGIA S.A.                               	RAIZEN ENERG  	        	23230     
RANDON S.A. IMPLEMENTOS E PARTICIPACOES           	RANDON PART   	N1      	14109     
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO             	RBCAPITALRES  	MB      	18406     
RB CAPITAL SECURITIZADORA S.A.                    	RBCAPITALSEC  	MB      	19860     
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.      	WTORRE PIC    	        	18430     
RECRUSUL S.A.                                     	RECRUSUL      	        	12572     
REDE ENERGIA PARTICIPAÇÕES S.A.                   	REDE ENERGIA  	        	3190      
REFINARIA DE PETROLEOS MANGUINHOS S.A.            	PET MANGUINH  	        	9989      
RENOVA ENERGIA S.A.                               	RENOVA        	N2      	21636     
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.     	LE LIS BLANC  	NM      	21440     
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.             	AES SUL       	        	16527     
RIO PARANAPANEMA ENERGIA S.A.                     	GER PARANAP   	        	18368     
RNI NEGÓCIOS IMOBILIÁRIOS S.A.                    	RNI           	NM      	20451     
RODOVIAS DAS COLINAS S.A.                         	ROD COLINAS   	        	23167     
ROSSI RESIDENCIAL S.A.                            	ROSSI RESID   	NM      	16306     
RUMO MALHA NORTE S.A.                             	ALL NORTE     	MB      	15300     
