;Evento;Aprovação;Início Pagamento;Espécie de Ação;Classe de Ação;Provento por Ação (Reais/Ação);ano;cvm;empresa_descr
0;Reunião do Conselho de Administração;08/03/2010;29/03/2010      ;Ordinária;              ;0,96547;2010;1120;BANESE
1;Reunião do Conselho de Administração;08/03/2010;29/03/2010      ;Preferencial;              ;1,06202;2010;1120;BANESE
2;Reunião do Conselho de Administração;16/06/2010;16/07/2010      ;Ordinária;              ;0,39410;2010;1120;BANESE
3;Reunião do Conselho de Administração;16/06/2010;16/07/2010      ;Preferencial;              ;0,43351;2010;1120;BANESE
4;Reunião do Conselho de Administração;29/07/2010;16/08/2010      ;Ordinária;              ;0,18259;2010;1120;BANESE
5;Reunião do Conselho de Administração;29/07/2010;16/08/2010      ;Preferencial;              ;0,20085;2010;1120;BANESE
6;Reunião do Conselho de Administração;24/11/2010;07/12/2010      ;Ordinária;              ;0,40065;2010;1120;BANESE
7;Reunião do Conselho de Administração;24/11/2010;07/12/2010      ;Preferencial;              ;0,44071;2010;1120;BANESE
0;Reunião do Conselho de Administração;13/07/2010;26/07/2010      ;Ordinária;              ;2,10000;2010;11231;TEKNO
1;Reunião do Conselho de Administração;13/07/2010;26/07/2010      ;Preferencial;              ;2,10000;2010;11231;TEKNO
2;Reunião do Conselho de Administração;30/11/2010;31/01/2011      ;Ordinária;              ;2,10000;2010;11231;TEKNO
3;Reunião do Conselho de Administração;30/11/2010;31/01/2011      ;Preferencial;              ;2,10000;2010;11231;TEKNO
0;Reunião do Conselho de Administração;17/11/2010;21/01/2011      ;Preferencial;              ;0,05234;2010;11312;OI
1;Reunião do Conselho de Administração;17/11/2010;21/01/2011      ;Ordinária;              ;0,05234;2010;11312;OI
0;Assembléia Geral Ordinária;29/04/2010;15/12/2010      ;Ordinária;                     ;241.418,83000;2010;11398;CRISTAL
1;Assembléia Geral Ordinária;29/04/2010;15/12/2010      ;Preferencial;Preferencial Classe A;4.146.992,01000;2010;11398;CRISTAL
2;Assembléia Geral Ordinária;29/04/2010;15/12/2010      ;Preferencial;Preferencial Classe B;287.962,49000;2010;11398;CRISTAL
0;Reunião do Conselho de Administração;25/02/2010;15/03/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
1;Reunião do Conselho de Administração;25/02/2010;15/03/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
2;Reunião do Conselho de Administração;25/02/2010;01/04/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
3;Reunião do Conselho de Administração;25/02/2010;01/04/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
4;Reunião do Conselho de Administração;25/02/2010;03/05/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
5;Reunião do Conselho de Administração;25/02/2010;03/05/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
6;Reunião do Conselho de Administração;25/02/2010;01/06/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
7;Reunião do Conselho de Administração;25/02/2010;01/06/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
8;Reunião do Conselho de Administração;25/02/2010;01/07/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
9;Reunião do Conselho de Administração;25/02/2010;01/07/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
10;Reunião do Conselho de Administração;25/02/2010;02/08/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
11;Reunião do Conselho de Administração;25/02/2010;02/08/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
12;Reunião do Conselho de Administração;25/02/2010;01/09/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
13;Reunião do Conselho de Administração;25/02/2010;01/09/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
14;Reunião do Conselho de Administração;25/02/2010;01/10/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
15;Reunião do Conselho de Administração;25/02/2010;01/10/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
16;Reunião do Conselho de Administração;25/02/2010;01/11/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
17;Reunião do Conselho de Administração;25/02/2010;01/11/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
18;Reunião do Conselho de Administração;25/02/2010;01/12/2010      ;Ordinária;              ;0,02180;2010;1155;BANESTES
19;Reunião do Conselho de Administração;25/02/2010;01/12/2010      ;Preferencial;              ;0,02180;2010;1155;BANESTES
20;Reunião do Conselho de Administração;25/02/2010;03/01/2011      ;Ordinária;              ;0,02180;2010;1155;BANESTES
21;Reunião do Conselho de Administração;25/02/2010;03/01/2011      ;Preferencial;              ;0,02180;2010;1155;BANESTES
22;Reunião do Conselho de Administração;25/02/2010;10/02/2011      ;Ordinária;              ;0,02180;2010;1155;BANESTES
23;Reunião do Conselho de Administração;25/02/2010;10/02/2011      ;Preferencial;              ;0,02180;2010;1155;BANESTES
24;Assembléia Geral Ordinária          ;30/04/2010;01/06/2010      ;Ordinária;              ;0,00156;2010;1155;BANESTES
25;Assembléia Geral Ordinária          ;30/04/2010;01/06/2010      ;Preferencial;              ;0,00156;2010;1155;BANESTES
0;Reunião do Conselho de Administração;23/02/2011;10/03/2011      ;Ordinária;              ;0,64026;2010;11932;IOCHP-MAXION
1;Reunião do Conselho de Administração;23/02/2011;10/03/2011      ;Ordinária;              ;0,04849;2010;11932;IOCHP-MAXION
0;Reunião do Conselho de Administração;06/05/2008;31/05/2010      ;Ordinária;                     ;0,11547;2010;1210;BANRISUL
1;Reunião do Conselho de Administração;06/05/2008;31/03/2010      ;Preferencial;Preferencial Classe A;0,12354;2010;1210;BANRISUL
2;Reunião do Conselho de Administração;06/05/2008;31/03/2010      ;Preferencial;Preferencial Classe B;0,11547;2010;1210;BANRISUL
3;Assembléia Geral Ordinária          ;30/04/2010;31/05/2010      ;Ordinária;                     ;0,06453;2010;1210;BANRISUL
4;Assembléia Geral Ordinária          ;30/04/2010;31/05/2010      ;Preferencial;Preferencial Classe A;0,07098;2010;1210;BANRISUL
5;Assembléia Geral Ordinária          ;30/04/2010;31/05/2010      ;Preferencial;Preferencial Classe B;0,06453;2010;1210;BANRISUL
6;Reunião do Conselho de Administração;06/05/2008;30/06/2010      ;Ordinária;                     ;0,12439;2010;1210;BANRISUL
7;Reunião do Conselho de Administração;06/05/2008;30/06/2010      ;Preferencial;Preferencial Classe A;0,12439;2010;1210;BANRISUL
8;Reunião do Conselho de Administração;06/05/2008;30/06/2010      ;Preferencial;Preferencial Classe B;0,12439;2010;1210;BANRISUL
9;Reunião do Conselho de Administração;06/05/2008;30/09/2010      ;Ordinária;                     ;0,12606;2010;1210;BANRISUL
10;Reunião do Conselho de Administração;06/05/2008;30/09/2010      ;Preferencial;Preferencial Classe A;0,12606;2010;1210;BANRISUL
11;Reunião do Conselho de Administração;06/05/2008;30/09/2010      ;Preferencial;Preferencial Classe B;0,12606;2010;1210;BANRISUL
12;Reunião do Conselho de Administração;06/05/2008;21/12/2010      ;Ordinária;                     ;0,12766;2010;1210;BANRISUL
13;Reunião do Conselho de Administração;06/05/2008;21/12/2010      ;Preferencial;Preferencial Classe A;0,13520;2010;1210;BANRISUL
14;Reunião do Conselho de Administração;06/05/2008;21/12/2010      ;Preferencial;Preferencial Classe B;0,12766;2010;1210;BANRISUL
15;Reunião do Conselho de Administração;10/12/2010;29/12/2010      ;Ordinária;                     ;0,15879;2010;1210;BANRISUL
16;Reunião do Conselho de Administração;10/12/2010;29/12/2010      ;Preferencial;Preferencial Classe A;0,17467;2010;1210;BANRISUL
17;Reunião do Conselho de Administração;10/12/2010;29/12/2010      ;Preferencial;Preferencial Classe B;0,15879;2010;1210;BANRISUL
0;Reunião de Diretoria;05/08/2010;29/04/2011      ;Ordinária;              ;0,51000;2010;12530;ITAUTEC
0;Reunião do Conselho de Administração;05/07/2010;20/07/2010      ;Ordinária;              ;0,05213;2010;12653;KLABIN SA
1;Reunião do Conselho de Administração;05/07/2010;20/07/2010      ;Preferencial;              ;0,05734;2010;12653;KLABIN SA
2;Reunião do Conselho de Administração;21/09/2010;08/10/2010      ;Ordinária;              ;0,07298;2010;12653;KLABIN SA
3;Reunião do Conselho de Administração;21/09/2010;08/10/2010      ;Preferencial;              ;0,08028;2010;12653;KLABIN SA
4;Proposta                            ;          ;                ;Ordinária;              ;0,07298;2010;12653;KLABIN SA
5;Proposta                            ;          ;                ;Preferencial;              ;0,08028;2010;12653;KLABIN SA
0;Reunião do Conselho de Administração;03/08/2010;31/08/2010      ;Ordinária;              ;0,85968;2010;1325;MERC BRASIL
1;Reunião do Conselho de Administração;03/08/2010;31/08/2010      ;Preferencial;              ;0,94565;2010;1325;MERC BRASIL
2;Reunião do Conselho de Administração;03/08/2010;31/08/2010      ;Ordinária;              ;0,19224;2010;1325;MERC BRASIL
3;Reunião do Conselho de Administração;03/08/2010;31/08/2010      ;Preferencial;              ;0,21146;2010;1325;MERC BRASIL
4;Reunião do Conselho de Administração;09/02/2011;15/03/2011      ;Ordinária;              ;0,33176;2010;1325;MERC BRASIL
5;Reunião do Conselho de Administração;09/02/2011;15/03/2011      ;Preferencial;              ;0,36494;2010;1325;MERC BRASIL
0;Previsto no Estatuto da Empresa;31/12/2009;22/06/2010      ;Ordinária;                     ;0,09120;2010;13285;JOSAPAR
1;Previsto no Estatuto da Empresa;31/12/2009;22/06/2010      ;Preferencial;Preferencial Classe A;0,10033;2010;13285;JOSAPAR
0;Assembléia Geral Ordinária e Extraordinária;30/04/2010;21/05/2010      ;Ordinária;              ;0,10725;2010;13781;SAO CARLOS
1;Reunião do Conselho de Administração       ;17/05/2010;17/06/2010      ;Ordinária;              ;0,43244;2010;13781;SAO CARLOS
0;Reunião do Conselho de Administração;27/01/2011;14/03/2011      ;Ordinária;              ;0,06428;2010;1384;ALFA INVEST
1;Reunião do Conselho de Administração;27/01/2011;14/03/2011      ;Preferencial;              ;0,17449;2010;1384;ALFA INVEST
0;Assembléia Geral Ordinária e Extraordinária;30/04/2010;17/05/2010      ;Ordinária;                     ;0,01000;2010;13986;SUZANO S.A
1;Assembléia Geral Ordinária e Extraordinária;30/04/2010;17/05/2010      ;Preferencial;Preferencial Classe A;0,01100;2010;13986;SUZANO S.A
2;Assembléia Geral Ordinária e Extraordinária;30/04/2010;17/05/2010      ;Preferencial;Preferencial Classe B;0,01100;2010;13986;SUZANO S.A
3;Reunião do Conselho de Administração       ;10/08/2010;10/09/2010      ;Ordinária;                     ;0,14433;2010;13986;SUZANO S.A
4;Reunião do Conselho de Administração       ;10/08/2010;10/09/2010      ;Preferencial;Preferencial Classe A;0,15877;2010;13986;SUZANO S.A
5;Reunião do Conselho de Administração       ;10/08/2010;10/09/2010      ;Preferencial;Preferencial Classe B;0,15877;2010;13986;SUZANO S.A
6;Reunião do Conselho de Administração       ;29/12/2010;15/03/2011      ;Ordinária;                     ;0,36372;2010;13986;SUZANO S.A
7;Reunião do Conselho de Administração       ;29/12/2010;15/03/2011      ;Preferencial;Preferencial Classe A;0,40010;2010;13986;SUZANO S.A
8;Reunião do Conselho de Administração       ;29/12/2010;15/03/2011      ;Preferencial;Preferencial Classe B;0,40010;2010;13986;SUZANO S.A
0;Reunião do Conselho de Administração       ;04/12/2009;28/01/2010      ;Ordinária;              ;0,10000;2010;14109;RANDON PART
1;Reunião do Conselho de Administração       ;04/12/2009;28/01/2010      ;Preferencial;              ;0,10000;2010;14109;RANDON PART
2;Assembléia Geral Ordinária e Extraordinária;08/04/2010;23/04/2010      ;Ordinária;              ;0,07532;2010;14109;RANDON PART
3;Assembléia Geral Ordinária e Extraordinária;08/04/2010;23/04/2010      ;Preferencial;              ;0,07532;2010;14109;RANDON PART
4;Reunião do Conselho de Administração       ;14/06/2010;23/07/2010      ;Ordinária;              ;0,10736;2010;14109;RANDON PART
5;Reunião do Conselho de Administração       ;14/06/2010;23/07/2010      ;Preferencial;              ;0,10736;2010;14109;RANDON PART
6;Reunião do Conselho de Administração       ;10/12/2010;27/01/2011      ;Ordinária;              ;0,11055;2010;14109;RANDON PART
7;Reunião do Conselho de Administração       ;10/12/2010;27/01/2011      ;Preferencial;              ;0,11055;2010;14109;RANDON PART
8;Proposta                                   ;          ;                ;Preferencial;              ;0,10807;2010;14109;RANDON PART
0;Reunião do Conselho de Administração;28/01/2010;28/02/2010      ;Ordinária;                     ;0,08155;2010;14133;TECTOY
1;Reunião do Conselho de Administração;28/01/2010;28/02/2010      ;Preferencial;Preferencial Classe A;0,07895;2010;14133;TECTOY
0;Proposta                            ;          ;                ;Ordinária;                     ;0,28328;2010;14311;COPEL
1;Proposta                            ;          ;                ;Preferencial;Preferencial Classe A;1,04782;2010;14311;COPEL
2;Proposta                            ;          ;                ;Preferencial;Preferencial Classe B;0,31167;2010;14311;COPEL
3;Reunião do Conselho de Administração;17/08/2010;20/09/2010      ;Ordinária;                     ;0,29662;2010;14311;COPEL
4;Reunião do Conselho de Administração;17/08/2010;20/09/2010      ;Preferencial;Preferencial Classe A;0,32638;2010;14311;COPEL
5;Reunião do Conselho de Administração;17/08/2010;20/09/2010      ;Preferencial;Preferencial Classe B;0,32638;2010;14311;COPEL
6;Proposta                            ;          ;                ;Ordinária;                     ;0,40037;2010;14311;COPEL
7;Proposta                            ;          ;                ;Preferencial;Preferencial Classe A;1,15087;2010;14311;COPEL
8;Proposta                            ;          ;                ;Preferencial;Preferencial Classe B;0,44049;2010;14311;COPEL
0;Reunião do Conselho de Administração;28/09/2010;20/10/2010      ;Ordinária;              ;0,22226;2010;14320;USIMINAS
1;Reunião do Conselho de Administração;28/09/2010;20/10/2010      ;Preferencial;              ;0,24448;2010;14320;USIMINAS
2;Reunião do Conselho de Administração;21/12/2010;04/04/2011      ;Ordinária;              ;0,17204;2010;14320;USIMINAS
3;Reunião do Conselho de Administração;21/12/2010;04/04/2011      ;Preferencial;              ;0,18924;2010;14320;USIMINAS
4;Reunião do Conselho de Administração;22/02/2011;04/04/2011      ;Ordinária;              ;0,13690;2010;14320;USIMINAS
5;Reunião do Conselho de Administração;22/02/2011;04/04/2011      ;Preferencial;              ;0,15059;2010;14320;USIMINAS
0;Reunião do Conselho de Administração;14/05/2009;28/06/2010      ;Ordinária;              ;0,81000;2010;14443;SABESP
1;Reunião do Conselho de Administração;12/11/2009;28/06/2010      ;Ordinária;              ;0,97000;2010;14443;SABESP
2;Reunião do Conselho de Administração;12/02/2010;28/06/2010      ;Ordinária;              ;0,15000;2010;14443;SABESP
3;Reunião do Conselho de Administração;14/12/2010;27/06/2011      ;Ordinária;              ;2,00140;2010;14443;SABESP
0;Proposta;         ;                ;Ordinária;              ;0,33702;2010;14460;CYRELA REALT
0;Reunião do Conselho de Administração;22/10/2009;15/11/2009      ;Ordinária;              ;0,11116;2010;14664;SCHULZ
1;Reunião do Conselho de Administração;22/10/2009;15/11/2009      ;Preferencial;              ;0,12227;2010;14664;SCHULZ
2;Assembléia Geral Ordinária          ;27/04/2010;30/06/2010      ;Ordinária;              ;0,62027;2010;14664;SCHULZ
3;Assembléia Geral Ordinária          ;27/04/2010;30/06/2010      ;Preferencial;              ;0,68230;2010;14664;SCHULZ
0;Reunião do Conselho de Administração;28/07/2010;17/08/2010      ;Ordinária;              ;0,32500;2010;14761;CIA HERING
1;Reunião do Conselho de Administração;28/07/2010;17/08/2010      ;Ordinária;              ;0,17500;2010;14761;CIA HERING
2;Reunião do Conselho de Administração;16/12/2010;14/01/2011      ;Ordinária;              ;0,12200;2010;14761;CIA HERING
3;Reunião do Conselho de Administração;16/12/2010;14/01/2011      ;Ordinária;              ;0,05800;2010;14761;CIA HERING
0;Reunião do Conselho de Administração;07/05/2010;31/05/2010      ;Ordinária;                     ;0,07272;2010;14826;P.ACUCAR-CBD
1;Reunião do Conselho de Administração;07/05/2010;31/05/2010      ;Preferencial;Preferencial Classe A;0,08000;2010;14826;P.ACUCAR-CBD
2;Reunião do Conselho de Administração;27/07/2010;17/08/2010      ;Preferencial;Preferencial Classe A;0,08000;2010;14826;P.ACUCAR-CBD
3;Reunião do Conselho de Administração;27/07/2010;17/08/2010      ;Ordinária;                     ;0,07272;2010;14826;P.ACUCAR-CBD
4;Reunião do Conselho de Administração;09/11/2010;01/12/2010      ;Preferencial;Preferencial Classe A;0,08000;2010;14826;P.ACUCAR-CBD
5;Reunião do Conselho de Administração;09/11/2010;01/12/2010      ;Ordinária;                     ;0,07272;2010;14826;P.ACUCAR-CBD
0;Assembléia Geral Ordinária e Extraordinária;30/04/2010;07/05/2010      ;Preferencial;Preferencial Classe C;10,89110;2010;15091;LITEL
1;Assembléia Geral Ordinária e Extraordinária;30/04/2010;                ;Ordinária;                     ;0,59443;2010;15091;LITEL
2;Assembléia Geral Ordinária e Extraordinária;30/04/2010;                ;Preferencial;Preferencial Classe A;0,59443;2010;15091;LITEL
3;Assembléia Geral Ordinária e Extraordinária;30/04/2010;                ;Preferencial;Preferencial Classe B;0,59443;2010;15091;LITEL
4;Reunião do Conselho de Administração       ;29/10/2010;                ;Ordinária;                     ;0,89334;2010;15091;LITEL
5;Reunião do Conselho de Administração       ;29/10/2010;                ;Preferencial;Preferencial Classe A;0,89334;2010;15091;LITEL
6;Reunião do Conselho de Administração       ;29/10/2010;                ;Preferencial;Preferencial Classe B;0,89334;2010;15091;LITEL
7;Reunião do Conselho de Administração       ;29/10/2010;29/10/2010      ;Preferencial;Preferencial Classe C;10,56374;2010;15091;LITEL
8;Reunião do Conselho de Administração       ;30/11/2010;30/11/2010      ;Preferencial;Preferencial Classe C;0,71088;2010;15091;LITEL
9;Reunião do Conselho de Administração       ;30/12/2010;30/12/2010      ;Preferencial;Preferencial Classe C;0,71088;2010;15091;LITEL
0;Reunião do Conselho de Administração;29/03/2011;27/06/2011      ;Preferencial;              ;17,67000;2010;1520;BARDELLA
1;Reunião do Conselho de Administração;29/03/2011;27/06/2011      ;Ordinária;              ;17,67000;2010;1520;BARDELLA
0;Reunião do Conselho de Administração;09/03/2010;22/03/2010      ;Ordinária;              ;0,03300;2010;15253;ENERGISA
1;Reunião do Conselho de Administração;09/03/2010;22/03/2010      ;Preferencial;              ;0,03300;2010;15253;ENERGISA
2;Reunião do Conselho de Administração;15/09/2010;28/09/2010      ;Ordinária;              ;0,05600;2010;15253;ENERGISA
3;Reunião do Conselho de Administração;15/09/2010;28/09/2010      ;Preferencial;              ;0,05600;2010;15253;ENERGISA
4;Reunião do Conselho de Administração;24/02/2011;15/03/2011      ;Ordinária;              ;0,03300;2010;15253;ENERGISA
5;Reunião do Conselho de Administração;24/02/2011;15/03/2011      ;Preferencial;              ;0,03300;2010;15253;ENERGISA
0;Reunião do Conselho de Administração;18/03/2010;16/06/2010      ;Ordinária;              ;0,01608;2010;15539;NEOENERGIA
1;Reunião do Conselho de Administração;30/03/2010;16/06/2010      ;Ordinária;              ;0,01763;2010;15539;NEOENERGIA
2;Reunião do Conselho de Administração;14/06/2010;15/09/2010      ;Ordinária;              ;0,01709;2010;15539;NEOENERGIA
3;Reunião do Conselho de Administração;30/09/2010;15/12/2010      ;Ordinária;              ;0,02136;2010;15539;NEOENERGIA
4;Reunião do Conselho de Administração;30/12/2010;02/03/2011      ;Ordinária;              ;0,01897;2010;15539;NEOENERGIA
0;Assembléia Geral Ordinária;29/04/2011;31/08/2011      ;Preferencial;Preferencial Classe A;0,92000;2010;1562;BAUMER
0;Reunião do Conselho de Administração;17/06/2010;27/08/2010      ;Ordinária;              ;0,06113;2010;16292;BRF SA
1;Reunião do Conselho de Administração;16/12/2010;24/02/2011      ;Ordinária;              ;0,02401;2010;16292;BRF SA
0;Proposta;         ;                ;Ordinária;              ;1,24582;2010;16497;ENCORPAR
1;Proposta;         ;                ;Preferencial;              ;1,37040;2010;16497;ENCORPAR
0;Reunião do Conselho de Administração;13/07/2010;13/07/2010      ;Ordinária;              ;0,11215;2010;16624;UPTICK
0;Reunião do Conselho de Administração;14/12/2010;                ;Ordinária;              ;0,16551;2010;16659;PORTO SEGURO
1;Reunião do Conselho de Administração;28/10/2010;                ;Ordinária;              ;0,29367;2010;16659;PORTO SEGURO
0;Assembléia Geral Ordinária e Extraordinária;29/04/2010;29/06/2010      ;Ordinária;              ;24,53000;2010;1694;BIC MONARK
0;Assembléia Geral Ordinária;30/04/2010;15/07/2010      ;Ordinária;              ;0,02893;2010;16993;EMAE
1;Assembléia Geral Ordinária;30/04/2010;15/07/2010      ;Preferencial;              ;0,03182;2010;16993;EMAE
0;Reunião do Conselho de Administração;12/08/2010;15/10/2010      ;Ordinária;              ;0,43830;2010;17329;ENGIE BRASIL
1;Reunião do Conselho de Administração;05/11/2010;                ;Ordinária;              ;0,33704;2010;17329;ENGIE BRASIL
2;Proposta                            ;04/02/2011;                ;Ordinária;              ;0,24247;2010;17329;ENGIE BRASIL
0;Assembléia Geral Ordinária;07/04/2010;26/04/2010      ;Ordinária;              ;1,48267;2010;17671;TELEF BRASIL
1;Assembléia Geral Ordinária;07/04/2010;26/04/2010      ;Preferencial;              ;1,63094;2010;17671;TELEF BRASIL
2;Assembléia Geral Ordinária;07/04/2010;13/12/2010      ;Ordinária;              ;0,83705;2010;17671;TELEF BRASIL
3;Assembléia Geral Ordinária;07/04/2010;13/12/2010      ;Preferencial;              ;0,92076;2010;17671;TELEF BRASIL
4;Assembléia Geral Ordinária;29/09/2010;13/12/2010      ;Ordinária;              ;0,36391;2010;17671;TELEF BRASIL
5;Assembléia Geral Ordinária;29/09/2010;13/12/2010      ;Preferencial;              ;0,40030;2010;17671;TELEF BRASIL
6;Assembléia Geral Ordinária;29/09/2010;13/12/2010      ;Ordinária;              ;0,61438;2010;17671;TELEF BRASIL
7;Assembléia Geral Ordinária;29/09/2010;13/12/2010      ;Preferencial;              ;0,67582;2010;17671;TELEF BRASIL
8;Assembléia Geral Ordinária;14/12/2010;                ;Ordinária;              ;0,37437;2010;17671;TELEF BRASIL
9;Assembléia Geral Ordinária;14/12/2010;                ;Preferencial;              ;0,41181;2010;17671;TELEF BRASIL
0;Reunião do Conselho de Administração;09/12/2010;08/04/2011      ;Ordinária;              ;0,01615;2010;17892;SANTOS BRP
1;Reunião do Conselho de Administração;09/12/2010;08/04/2011      ;Preferencial;              ;0,01615;2010;17892;SANTOS BRP
2;Reunião do Conselho de Administração;09/12/2010;17/12/2010      ;Ordinária;              ;0,02991;2010;17892;SANTOS BRP
3;Reunião do Conselho de Administração;09/12/2010;17/12/2010      ;Preferencial;              ;0,02991;2010;17892;SANTOS BRP
4;Reunião do Conselho de Administração;09/12/2010;08/04/2011      ;Ordinária;              ;0,04607;2010;17892;SANTOS BRP
5;Reunião do Conselho de Administração;09/12/2010;08/04/2011      ;Preferencial;              ;0,04607;2010;17892;SANTOS BRP
0;Previsto no Estatuto da Empresa;          ;30/04/2011      ;Ordinária;              ;0,12031;2010;17922;BRAZILIAN FR
1;Assembléia Geral Ordinária     ;19/04/2010;19/04/2010      ;Ordinária;              ;0,05693;2010;17922;BRAZILIAN FR
2;Previsto no Estatuto da Empresa;          ;30/04/2011      ;Preferencial;              ;0,12031;2010;17922;BRAZILIAN FR
3;Assembléia Geral Ordinária     ;19/04/2010;19/04/2010      ;Preferencial;              ;0,05693;2010;17922;BRAZILIAN FR
0;Proposta;         ;                ;Ordinária;              ;70,82682;2010;18287;CIBRASEC
1;Proposta;         ;                ;Ordinária;              ;67,26967;2010;18287;CIBRASEC
0;Reunião do Conselho de Administração;30/03/2010;20/04/2010      ;Ordinária;                     ;0,86275;2010;18376;TRAN PAULIST
1;Reunião do Conselho de Administração;30/03/2010;20/04/2010      ;Preferencial;Preferencial Classe A;0,86275;2010;18376;TRAN PAULIST
2;Reunião do Conselho de Administração;30/03/2010;20/04/2010      ;Ordinária;                     ;0,41100;2010;18376;TRAN PAULIST
3;Reunião do Conselho de Administração;30/03/2010;20/04/2010      ;Preferencial;Preferencial Classe A;0,41100;2010;18376;TRAN PAULIST
4;Reunião do Conselho de Administração;28/06/2010;23/07/2010      ;Ordinária;                     ;0,41936;2010;18376;TRAN PAULIST
5;Reunião do Conselho de Administração;28/06/2010;23/07/2010      ;Preferencial;Preferencial Classe A;0,41936;2010;18376;TRAN PAULIST
6;Reunião do Conselho de Administração;28/06/2010;23/07/2010      ;Ordinária;                     ;0,41445;2010;18376;TRAN PAULIST
